ID,Type_ID,Pos,Description,Colour
1,0,0,"No Peak Scheduled.","12632256"
1,0,1,"Complete Rest - No activity.","16777088"
1,0,2,"Active Rest - Very easy & limited activity. 20 - 30 mins of light training.","8421631"
1,0,3,"Train Easy - High cadance group ride.","16744703"
1,0,4,"Train Moderate - 1 to 1 1/2 hours, Sprints, moderate intervals.","16744448"
1,0,5,"Regular Training - Normal training schedule.","16744576"
1,0,6,"Peak Performance -  ******** GO FOR IT *********","255"
1,0,8,"<2%/> squats, <2%/> straight Leg + Tuesday Night","4227327"
1,0,9,"Tempo riding 145 to 155 bpm for <5%/> minutes","8421376"
1,0,10,"Hill <5%/> reps of hill sprints - 165 to 175","16711935"
1,0,11,"Saturday ride <5%/> minutes - Race efforts","16711680"
1,0,12,"Sunday - Distance <5%/> kms","32896"
1,0,13,"Anaerobic routine training","12615935"
1,0,14,"Weight <10%/> minutes","4210816"
1,0,15,"Evening -  Situps and upper body weights","4227072"
1,0,16,"Evening - Plyometrics (Lung switches, skipping, frog and drop jumps)","8388863"
1,0,17,"Hill reps - Anaerobic efforts <1/>","128"
1,0,18,"Marine Dr. 16th Ave Loops <1/> times","4259584"
1,0,19,"Climbing - 65 - 80% of Max HR with <1/> 20 min hill interval at 75 - 80% (Lions Bay and Cypress).","16711808"
1,0,20,"TT - <1/> intervals of speed work (pedalling down hill) with 40km TT, start and end at Jerko.","4227327"
1,0,21,"Power - Seated rolling start (53x16) to 45km <1/> times. Jumps (53x14) - 20 sec interv. on/off <1/>x","128"
1,0,22,"Tempo Ride - 15 mins + <8%/> mins @ 27 km/Hr","4227327"
1,0,23,"Power - Seated rolling start (53x16) to 35km <1/> times. ","8454143"
1,0,24,"Speed work <1/> intervals of 3 mins. 40km/hr. (tail wind or pedal down flat descent)","8388863"
1,0,26,"Cadance: 120 - 130 RPM for <15%/> minutes...","16744448"
1,0,27,"Cadance: Time for 20 KM @ 120 - 130 RPM ---> <-2/>","8454143"
1,1,0,"40 KM TT (Route)","16711935"
1,1,1,"Seymour Hill Climb","8421631"
1,1,2,"Cypress Hill Climb","4210816"
1,1,3,"Sprints","65535"
1,1,4,"Velodrome training.","8421631"
1,1,5,"Races","255"
1,1,6,"Weight Training","4259584"
1,1,7,"Rest Day","16744448"
1,1,8,"Intervals.","33023"
1,1,9,"TimeTrial (100km)","12615808"
1,1,10,"Overdistance","8421376"
1,1,11,"Tempo Riding","32768"
1,1,12,"Route #1 - Tsw WRock","32768"
1,1,13,"Route #2 - 40KM TT","65280"
1,1,14,"Route #3 - Ferry","10485760"
1,1,15,"Route #4 - Langley","32896"
1,1,16,"Route #5 - Nordel","8421440"
1,1,17,"Route #6 - 168 & 32","16744448"
1,1,18,"Route #7 - King Geo.","16711808"
1,1,19,"Route #8 - Cambie","8454143"
1,1,20,"Route #9 - UBC","8454016"
1,1,21,"Route #10 - Seymour","4227200"
1,1,22,"Route #11 - Cypress","12632256"
1,1,23,"Route #12 - Iona","32896"
1,1,24,"Active Rest - Easy","16777088"
1,1,25,"Motor Pacing","16711680"
1,1,26,"Cadance Ride","4227072"
1,1,27,"Route #13 - Ladner.","16744448"
1,2,1,"000 to 110 bpm","0"
1,2,2,"110 to 130 bpm","0"
1,2,3,"130 to 140 bpm","0"
1,2,4,"140 to 150 bpm","-2147483643"
1,2,5,"150 to 160 bpm","-2147483643"
1,2,6,"160 to 170 bpm","-2147483643"
1,2,7,"170 to 180 bpm","-2147483643"
1,2,8,"180 to max bpm","-2147483643"
1,2,9,"165 to 175 bpm","-2147483643"
4,1,1,"Sprints","8454143"
4,1,2,"Route #1","8421631"
4,2,1,"000 - 100 bpm","-2147483643"
4,2,2,"100 - 110 bpm","-2147483643"
4,2,3,"110 - 120 bpm","-2147483643"
4,2,4,"120 - 130 bpm","-2147483643"
4,2,5,"130 - 140 bpm","-2147483643"
4,2,6,"140 - 150 bpm","-2147483643"
5,0,1,"for test5","65408"
7,0,1,"Peak 1","-2147483643"
7,0,2,"Peak 2","-2147483643"
7,1,1,"Sprints","8421631"
7,1,2,"Road Hockey","255"
