Date,ID,iMin,iWatt,iPr
"11/03/95 00:00:00",1,0,154,105
"11/03/95 00:00:00",1,1,178,116
"11/03/95 00:00:00",1,2,200,122
"11/03/95 00:00:00",1,3,225,129
"11/03/95 00:00:00",1,4,248,138
"11/03/95 00:00:00",1,5,272,147
"11/03/95 00:00:00",1,6,288,151
"11/03/95 00:00:00",1,7,334,158
"11/03/95 00:00:00",1,8,343,167
"11/03/95 00:00:00",1,9,343,170
"09/25/02 00:00:00",1,0,200,143
"09/25/02 00:00:00",1,1,225,151
"09/25/02 00:00:00",1,2,250,153
"09/25/02 00:00:00",1,3,275,159
"09/25/02 00:00:00",1,4,300,164
"09/25/02 00:00:00",1,5,325,171
"09/25/02 00:00:00",1,6,350,174
"09/25/02 00:00:00",1,7,375,177
"09/25/02 00:00:00",1,8,400,181
"09/25/02 00:00:00",1,9,400,183
"03/09/03 00:00:00",1,0,200,139
"03/09/03 00:00:00",1,1,225,144
"03/09/03 00:00:00",1,2,250,148
"03/09/03 00:00:00",1,3,275,154
"03/09/03 00:00:00",1,4,300,160
"03/09/03 00:00:00",1,5,325,164
"03/09/03 00:00:00",1,6,350,168
"03/09/03 00:00:00",1,7,375,171
"03/09/03 00:00:00",1,8,400,174
"03/09/03 00:00:00",1,9,400,174
"11/05/92 00:00:00",1,0,154,139
"11/05/92 00:00:00",1,1,178,144
"11/05/92 00:00:00",1,2,200,149
"11/05/92 00:00:00",1,3,225,152
"11/05/92 00:00:00",1,4,248,160
"11/05/92 00:00:00",1,5,272,165
"11/05/92 00:00:00",1,6,288,169
"11/05/92 00:00:00",1,7,314,175
"11/05/92 00:00:00",1,8,334,180
"11/05/92 00:00:00",1,9,343,180
